id,modulo,pergunta,resposta_correta
1,Lei Orgânica do Município,Qual é o conceito de autonomia municipal segundo a Lei Orgânica?,B) Autogoverno e gestão de interesses locais nos limites da Constituição
2,Lei Orgânica do Município,"Cabe à Câmara Municipal, dentre suas atribuições:",B) Fiscalizar atos do Executivo e criar leis municipais
33,Lei Orgânica do Município,Nova pergunta 1 sobre Lei Orgânica do Município,A
34,Lei Orgânica do Município,Nova pergunta 2 sobre Lei Orgânica do Município,A
35,Lei Orgânica do Município,Nova pergunta 3 sobre Lei Orgânica do Município,A
36,Lei Orgânica do Município,Nova pergunta 4 sobre Lei Orgânica do Município,A
37,Lei Orgânica do Município,Nova pergunta 5 sobre Lei Orgânica do Município,A
3,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),O que institui o Sistema Único de Segurança Pública (SUSP)?,"C) Diretrizes de cooperação entre União, Estados, DF e Municípios"
4,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),Um dos princípios da PNPSD é:,B) Eficiência e controle social
38,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),Nova pergunta 1 sobre Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),A
39,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),Nova pergunta 2 sobre Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),A
40,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),Nova pergunta 3 sobre Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),A
41,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),Nova pergunta 4 sobre Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),A
42,Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),Nova pergunta 5 sobre Política Nacional de Segurança Pública e Defesa Social (Lei 13.675/2018),A
5,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),"Segundo o Estatuto, as Guardas Municipais têm como função principal:","B) Proteção de bens, serviços e instalações municipais"
6,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),O Decreto 11.841/2023 regula a cooperação das Guardas Municipais com:,"C) Órgãos de segurança da União, Estados e DF"
43,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),Nova pergunta 1 sobre Estatuto Geral das Guardas Municipais (Lei 13.022/2014),A
44,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),Nova pergunta 2 sobre Estatuto Geral das Guardas Municipais (Lei 13.022/2014),A
45,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),Nova pergunta 3 sobre Estatuto Geral das Guardas Municipais (Lei 13.022/2014),A
46,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),Nova pergunta 4 sobre Estatuto Geral das Guardas Municipais (Lei 13.022/2014),A
47,Estatuto Geral das Guardas Municipais (Lei 13.022/2014),Nova pergunta 5 sobre Estatuto Geral das Guardas Municipais (Lei 13.022/2014),A
7,"Organização, Comando e Controle e Plano de Carreira (LC 05/2024)",A Lei Complementar nº 05/2024 trata de:,"B) Estrutura, carreira e vencimentos da Guarda Civil Municipal de Arapiraca"
48,"Organização, Comando e Controle e Plano de Carreira (LC 05/2024)","Nova pergunta 1 sobre Organização, Comando e Controle e Plano de Carreira (LC 05/2024)",A
49,"Organização, Comando e Controle e Plano de Carreira (LC 05/2024)","Nova pergunta 2 sobre Organização, Comando e Controle e Plano de Carreira (LC 05/2024)",A
50,"Organização, Comando e Controle e Plano de Carreira (LC 05/2024)","Nova pergunta 3 sobre Organização, Comando e Controle e Plano de Carreira (LC 05/2024)",A
51,"Organização, Comando e Controle e Plano de Carreira (LC 05/2024)","Nova pergunta 4 sobre Organização, Comando e Controle e Plano de Carreira (LC 05/2024)",A
52,"Organização, Comando e Controle e Plano de Carreira (LC 05/2024)","Nova pergunta 5 sobre Organização, Comando e Controle e Plano de Carreira (LC 05/2024)",A
