id,modulo,resposta_correta
1,Lei Orgânica do Município,A
2,Lei Orgânica do Município,A
3,Lei Orgânica do Município,A
4,Lei Orgânica do Município,D
5,Lei Orgânica do Município,C
6,Lei Orgânica do Município,A
7,Lei Orgânica do Município,A
8,Lei Orgânica do Município,C
9,Lei Orgânica do Município,C
10,Lei Orgânica do Município,D
11,Lei Orgânica do Município,D
12,Lei Orgânica do Município,B
13,Lei Orgânica do Município,C
14,Lei Orgânica do Município,C
15,Lei Orgânica do Município,B
16,Lei Orgânica do Município,D
17,Lei Orgânica do Município,C
18,Lei Orgânica do Município,B
19,Lei Orgânica do Município,C
20,Lei Orgânica do Município,A
21,Lei Orgânica do Município,A
22,Lei Orgânica do Município,D
23,Lei Orgânica do Município,C
24,Lei Orgânica do Município,D
25,Lei Orgânica do Município,A
26,Lei Orgânica do Município,C
27,Lei Orgânica do Município,C
28,Lei Orgânica do Município,B
29,Lei Orgânica do Município,D
30,Lei Orgânica do Município,B
31,Lei Orgânica do Município,D
32,Lei Orgânica do Município,C
33,Lei Orgânica do Município,D
34,Lei Orgânica do Município,B
35,Lei Orgânica do Município,D
36,Lei Orgânica do Município,C
37,Lei Orgânica do Município,D
38,Lei Orgânica do Município,A
39,Lei Orgânica do Município,A
40,Lei Orgânica do Município,C
41,Lei Orgânica do Município,D
42,Lei Orgânica do Município,A
43,Lei Orgânica do Município,A
44,Lei Orgânica do Município,A
45,Lei Orgânica do Município,B
46,Lei Orgânica do Município,A
47,Lei Orgânica do Município,D
48,Lei Orgânica do Município,A
49,Lei Orgânica do Município,D
50,Lei Orgânica do Município,D
51,Lei Orgânica do Município,A
52,Lei Orgânica do Município,B
53,Lei Orgânica do Município,A
54,Lei Orgânica do Município,B
55,Lei Orgânica do Município,A
56,Lei Orgânica do Município,A
57,Lei Orgânica do Município,A
58,Lei Orgânica do Município,B
59,Lei Orgânica do Município,B
60,Lei Orgânica do Município,C
61,Lei Orgânica do Município,D
62,Lei Orgânica do Município,D
63,Lei Orgânica do Município,A
64,Lei Orgânica do Município,A
65,Lei Orgânica do Município,D
66,Lei Orgânica do Município,D
67,Lei Orgânica do Município,B
68,Lei Orgânica do Município,D
69,Lei Orgânica do Município,D
70,Lei Orgânica do Município,A
71,Lei Orgânica do Município,A
72,Lei Orgânica do Município,B
73,Lei Orgânica do Município,A
74,Lei Orgânica do Município,A
75,Lei Orgânica do Município,A
76,Lei Orgânica do Município,C
77,Lei Orgânica do Município,B
78,Lei Orgânica do Município,D
79,Lei Orgânica do Município,B
80,Lei Orgânica do Município,A
81,Lei Orgânica do Município,B
82,Lei Orgânica do Município,C
83,Lei Orgânica do Município,D
84,Lei Orgânica do Município,C
85,Lei Orgânica do Município,C
86,Lei Orgânica do Município,B
87,Lei Orgânica do Município,A
88,Lei Orgânica do Município,D
89,Lei Orgânica do Município,D
90,Lei Orgânica do Município,C
91,Lei Orgânica do Município,C
92,Lei Orgânica do Município,D
93,Lei Orgânica do Município,B
94,Lei Orgânica do Município,D
95,Lei Orgânica do Município,A
96,Lei Orgânica do Município,C
97,Lei Orgânica do Município,B
98,Lei Orgânica do Município,D
99,Lei Orgânica do Município,A
100,Lei Orgânica do Município,B
101,Lei Orgânica do Município,A
102,Lei Orgânica do Município,C
103,Lei Orgânica do Município,D
104,Lei Orgânica do Município,A
105,Lei Orgânica do Município,D
106,Lei Orgânica do Município,A
107,Lei Orgânica do Município,B
108,Lei Orgânica do Município,C
109,Lei Orgânica do Município,D
110,Lei Orgânica do Município,B
111,Lei Orgânica do Município,B
112,Lei Orgânica do Município,A
113,Lei Orgânica do Município,D
114,Lei Orgânica do Município,D
115,Lei Orgânica do Município,D
116,Lei Orgânica do Município,B
117,Lei Orgânica do Município,D
118,Lei Orgânica do Município,B
119,Lei Orgânica do Município,A
120,Lei Orgânica do Município,B
121,Lei Orgânica do Município,D
122,Lei Orgânica do Município,C
123,Lei Orgânica do Município,C
124,Lei Orgânica do Município,A
125,Lei Orgânica do Município,C
126,Lei Orgânica do Município,B
127,Lei Orgânica do Município,C
128,Lei Orgânica do Município,A
129,Lei Orgânica do Município,A
130,Lei Orgânica do Município,A
131,Lei Orgânica do Município,D
132,Lei Orgânica do Município,A
133,Lei Orgânica do Município,B
134,Lei Orgânica do Município,C
135,Lei Orgânica do Município,A
136,Lei Orgânica do Município,B
137,Lei Orgânica do Município,A
138,Lei Orgânica do Município,D
139,Lei Orgânica do Município,A
140,Lei Orgânica do Município,A
141,Lei Orgânica do Município,C
142,Lei Orgânica do Município,B
143,Lei Orgânica do Município,B
144,Lei Orgânica do Município,D
145,Lei Orgânica do Município,A
146,Lei Orgânica do Município,B
147,Lei Orgânica do Município,A
148,Lei Orgânica do Município,D
149,Lei Orgânica do Município,A
150,Lei Orgânica do Município,A
151,Lei Orgânica do Município,C
152,Lei Orgânica do Município,B
153,Lei Orgânica do Município,C
154,Lei Orgânica do Município,D
155,Lei Orgânica do Município,C
156,Lei Orgânica do Município,A
157,Lei Orgânica do Município,D
158,Lei Orgânica do Município,B
159,Lei Orgânica do Município,D
160,Lei Orgânica do Município,A
161,Lei Orgânica do Município,A
162,Lei Orgânica do Município,A
163,Lei Orgânica do Município,D
164,Lei Orgânica do Município,D
165,Lei Orgânica do Município,D
166,Lei Orgânica do Município,B
167,Lei Orgânica do Município,D
168,Lei Orgânica do Município,A
169,Lei Orgânica do Município,B
170,Lei Orgânica do Município,C
171,Lei Orgânica do Município,D
172,Lei Orgânica do Município,D
173,Lei Orgânica do Município,A
174,Lei Orgânica do Município,D
175,Lei Orgânica do Município,A
176,Lei Orgânica do Município,D
177,Lei Orgânica do Município,D
178,Lei Orgânica do Município,A
179,Lei Orgânica do Município,B
180,Lei Orgânica do Município,B
181,Lei Orgânica do Município,C
182,Lei Orgânica do Município,D
183,Lei Orgânica do Município,B
184,Lei Orgânica do Município,C
185,Lei Orgânica do Município,D
186,Lei Orgânica do Município,C
187,Lei Orgânica do Município,A
188,Lei Orgânica do Município,B
189,Lei Orgânica do Município,A
190,Lei Orgânica do Município,D
191,Lei Orgânica do Município,B
192,Lei Orgânica do Município,B
193,Lei Orgânica do Município,B
194,Lei Orgânica do Município,A
195,Lei Orgânica do Município,D
196,Lei Orgânica do Município,C
197,Lei Orgânica do Município,D
198,Lei Orgânica do Município,C
199,Lei Orgânica do Município,B
200,Lei Orgânica do Município,A
201,Lei Orgânica do Município,B
202,Lei Orgânica do Município,B
203,Lei Orgânica do Município,B
204,Lei Orgânica do Município,B
205,Lei Orgânica do Município,C
206,Lei Orgânica do Município,B
207,Lei Orgânica do Município,D
208,Lei Orgânica do Município,C
209,Lei Orgânica do Município,B
210,Lei Orgânica do Município,A
211,Lei Orgânica do Município,A
212,Lei Orgânica do Município,B
213,Lei Orgânica do Município,A
214,Lei Orgânica do Município,B
215,Lei Orgânica do Município,B
216,Lei Orgânica do Município,D
217,Lei Orgânica do Município,B
218,Lei Orgânica do Município,D
219,Lei Orgânica do Município,D
220,Lei Orgânica do Município,B
221,Lei Orgânica do Município,A
222,Lei Orgânica do Município,A
223,Lei Orgânica do Município,D
224,Lei Orgânica do Município,B
225,Lei Orgânica do Município,B
226,Lei Orgânica do Município,C
227,Lei Orgânica do Município,B
228,Lei Orgânica do Município,C
229,Lei Orgânica do Município,A
230,Lei Orgânica do Município,B
231,Lei Orgânica do Município,D
232,Lei Orgânica do Município,B
233,Lei Orgânica do Município,D
234,Lei Orgânica do Município,D
235,Lei Orgânica do Município,C
236,Lei Orgânica do Município,C
237,Lei Orgânica do Município,B
238,Lei Orgânica do Município,C
239,Lei Orgânica do Município,A
240,Lei Orgânica do Município,A
241,Lei Orgânica do Município,C
242,Lei Orgânica do Município,A
243,Lei Orgânica do Município,D
244,Lei Orgânica do Município,D
245,Lei Orgânica do Município,D
246,Lei Orgânica do Município,B
247,Lei Orgânica do Município,D
248,Lei Orgânica do Município,A
249,Lei Orgânica do Município,B
250,Lei Orgânica do Município,D
251,Lei Orgânica do Município,C
252,Lei Orgânica do Município,C
253,Lei Orgânica do Município,C
254,Lei Orgânica do Município,C
255,Lei Orgânica do Município,A
256,Lei Orgânica do Município,A
257,Lei Orgânica do Município,A
258,Lei Orgânica do Município,B
259,Lei Orgânica do Município,B
260,Lei Orgânica do Município,A
261,Lei Orgânica do Município,D
262,Lei Orgânica do Município,C
263,Lei Orgânica do Município,A
264,Lei Orgânica do Município,D
265,Lei Orgânica do Município,B
266,Lei Orgânica do Município,D
267,Lei Orgânica do Município,D
268,Lei Orgânica do Município,C
269,Lei Orgânica do Município,A
270,Lei Orgânica do Município,C
271,Lei Orgânica do Município,C
272,Lei Orgânica do Município,C
273,Lei Orgânica do Município,C
274,Lei Orgânica do Município,D
275,Lei Orgânica do Município,B
276,Lei Orgânica do Município,A
277,Lei Orgânica do Município,C
278,Lei Orgânica do Município,D
279,Lei Orgânica do Município,D
280,Lei Orgânica do Município,A
281,Lei Orgânica do Município,D
282,Lei Orgânica do Município,B
283,Lei Orgânica do Município,D
284,Lei Orgânica do Município,C
285,Lei Orgânica do Município,C
286,Lei Orgânica do Município,B
287,Lei Orgânica do Município,A
288,Lei Orgânica do Município,A
289,Lei Orgânica do Município,D
290,Lei Orgânica do Município,D
291,Lei Orgânica do Município,D
292,Lei Orgânica do Município,A
293,Lei Orgânica do Município,D
294,Lei Orgânica do Município,D
295,Lei Orgânica do Município,D
296,Lei Orgânica do Município,A
297,Lei Orgânica do Município,B
298,Lei Orgânica do Município,B
299,Lei Orgânica do Município,C
300,Lei Orgânica do Município,B
301,Lei nº 13675 de 2018,C
302,Lei nº 13675 de 2018,A
303,Lei nº 13675 de 2018,B
304,Lei nº 13675 de 2018,A
305,Lei nº 13675 de 2018,D
306,Lei nº 13675 de 2018,C
307,Lei nº 13675 de 2018,C
308,Lei nº 13675 de 2018,A
309,Lei nº 13675 de 2018,B
310,Lei nº 13675 de 2018,D
311,Lei nº 13675 de 2018,D
312,Lei nº 13675 de 2018,D
313,Lei nº 13675 de 2018,C
314,Lei nº 13675 de 2018,C
315,Lei nº 13675 de 2018,B
316,Lei nº 13675 de 2018,A
317,Lei nº 13675 de 2018,D
318,Lei nº 13675 de 2018,B
319,Lei nº 13675 de 2018,A
320,Lei nº 13675 de 2018,B
321,Lei nº 13675 de 2018,C
322,Lei nº 13675 de 2018,B
323,Lei nº 13675 de 2018,C
324,Lei nº 13675 de 2018,A
325,Lei nº 13675 de 2018,A
326,Lei nº 13675 de 2018,D
327,Lei nº 13675 de 2018,B
328,Lei nº 13675 de 2018,A
329,Lei nº 13675 de 2018,C
330,Lei nº 13675 de 2018,B
331,Lei nº 13675 de 2018,B
332,Lei nº 13675 de 2018,A
333,Lei nº 13675 de 2018,A
334,Lei nº 13675 de 2018,C
335,Lei nº 13675 de 2018,B
336,Lei nº 13675 de 2018,A
337,Lei nº 13675 de 2018,C
338,Lei nº 13675 de 2018,D
339,Lei nº 13675 de 2018,D
340,Lei nº 13675 de 2018,B
341,Lei nº 13675 de 2018,D
342,Lei nº 13675 de 2018,B
343,Lei nº 13675 de 2018,B
344,Lei nº 13675 de 2018,C
345,Lei nº 13675 de 2018,D
346,Lei nº 13675 de 2018,C
347,Lei nº 13675 de 2018,C
348,Lei nº 13675 de 2018,D
349,Lei nº 13675 de 2018,B
350,Lei nº 13675 de 2018,A
351,Lei nº 13675 de 2018,C
352,Lei nº 13675 de 2018,C
353,Lei nº 13675 de 2018,A
354,Lei nº 13675 de 2018,C
355,Lei nº 13675 de 2018,C
356,Lei nº 13675 de 2018,B
357,Lei nº 13675 de 2018,A
358,Lei nº 13675 de 2018,A
359,Lei nº 13675 de 2018,B
360,Lei nº 13675 de 2018,C
361,Lei nº 13675 de 2018,B
362,Lei nº 13675 de 2018,D
363,Lei nº 13675 de 2018,A
364,Lei nº 13675 de 2018,D
365,Lei nº 13675 de 2018,A
366,Lei nº 13675 de 2018,B
367,Lei nº 13675 de 2018,B
368,Lei nº 13675 de 2018,B
369,Lei nº 13675 de 2018,A
370,Lei nº 13675 de 2018,A
371,Lei nº 13675 de 2018,A
372,Lei nº 13675 de 2018,C
373,Lei nº 13675 de 2018,D
374,Lei nº 13675 de 2018,A
375,Lei nº 13675 de 2018,C
376,Lei nº 13675 de 2018,C
377,Lei nº 13675 de 2018,A
378,Lei nº 13675 de 2018,A
379,Lei nº 13675 de 2018,D
380,Lei nº 13675 de 2018,C
381,Lei nº 13675 de 2018,D
382,Lei nº 13675 de 2018,C
383,Lei nº 13675 de 2018,B
384,Lei nº 13675 de 2018,A
385,Lei nº 13675 de 2018,D
386,Lei nº 13675 de 2018,D
387,Lei nº 13675 de 2018,D
388,Lei nº 13675 de 2018,D
389,Lei nº 13675 de 2018,C
390,Lei nº 13675 de 2018,B
391,Lei nº 13675 de 2018,D
392,Lei nº 13675 de 2018,D
393,Lei nº 13675 de 2018,C
